year,model,city08,highway08,comb08,trim
2022,Tundra 4WD,19,22,20,4WD
2022,Tundra 4WD PRO,18,20,19,4WD PRO
2023,GR 86,21,31,25,86
2023,GR 86,20,27,22,86
2023,GR Supra,23,31,26,Supra
2023,Camry,22,33,26,
2023,Camry TRD,22,31,25,TRD
2023,Camry XSE,22,32,26,XSE
2023,Camry AWD LE/SE,25,34,29,AWD LE/SE
2023,Camry AWD XLE/XSE,25,34,28,AWD XLE/XSE
2023,Camry LE/SE,28,39,32,LE/SE
2023,Camry XLE/XSE,27,38,31,XLE/XSE
2023,Camry Hybrid LE,51,53,52,Hybrid LE
2023,Camry Hybrid SE/XLE/XSE,44,47,46,Hybrid SE/XLE/XSE
2023,Sequoia 2WD,21,24,22,2WD
2023,Sequoia 4WD,19,22,20,4WD
2023,bZ4X,131,107,119,
2023,bZ4X LIMITED,125,103,114,LIMITED
2023,bZ4X AWD,114,94,104,AWD
2023,bZ4X LIMITED AWD,112,92,102,LIMITED AWD
2023,4Runner 2WD,16,19,17,2WD
2023,4Runner 4WD,16,19,17,4WD
2023,4Runner 4WD,16,19,17,4WD
2023,Tacoma 2WD,19,24,21,2WD
2023,Tacoma 2WD,20,23,21,2WD
2023,Tacoma 4WD,18,22,20,4WD
2023,Tacoma 4WD,17,21,18,4WD
2023,Tacoma 4WD D-CAB MT TRD-ORP/PRO,17,20,18,4WD D-CAB MT TRD-ORP/PRO
2023,Tacoma 4WD,19,22,20,4WD
2023,Tundra 2WD,18,24,20,2WD
2023,Tundra 2WD,18,23,20,2WD
2023,Tundra 2WD,20,24,22,2WD
2023,Tundra 4WD,17,23,19,4WD
2023,Tundra 4WD,17,22,19,4WD
2023,Tundra 4WD,19,22,20,4WD
2023,Tundra 4WD PRO,18,20,19,4WD PRO
2023,Corolla Hatchback,32,41,35,Hatchback
2023,Corolla Hatchback XSE,30,38,33,Hatchback XSE
2023,Corolla Hybrid,50,43,47,Hybrid
2023,Corolla Hybrid AWD,47,41,44,Hybrid AWD
2023,Corolla,32,41,35,
2023,Corolla,31,40,34,
2023,Sienna 2WD,36,36,36,2WD
2023,Sienna AWD,35,36,35,AWD
2023,RAV4,27,35,30,
2023,RAV4,27,34,30,
2023,RAV4 AWD,25,33,28,AWD
2023,RAV4 AWD,27,33,29,AWD
2023,RAV4 AWD TRD OFFROAD,25,32,28,AWD TRD OFFROAD
2023,RAV4 AWD LE,27,34,30,AWD LE
2023,RAV4 Hybrid AWD,41,38,40,Hybrid AWD
2023,Venza AWD,40,37,39,AWD
2023,RAV4 Hybrid AWD Woodland Edition,38,35,37,Hybrid AWD Woodland Edition
2023,GR Supra,25,31,27,Supra
2023,GR Supra,19,27,21,Supra
2023,Corolla Hybrid,53,46,50,Hybrid
2023,Corolla Hybrid AWD,51,44,48,Hybrid AWD
2023,Highlander Hybrid,36,35,36,Hybrid
2023,Highlander,21,28,24,
2023,Highlander,22,29,25,
2023,Highlander AWD,21,28,24,AWD
2023,Highlander Hybrid AWD LTD/PLAT,35,34,35,Hybrid AWD LTD/PLAT
2023,Highlander Hybrid AWD,35,35,35,Hybrid AWD
2023,GR Corolla,21,28,24,Corolla
2023,Corolla Cross,31,33,32,Cross
